width,height,out_width,out_height,engine,mode,round,frame,input,upload_ms,record_ms,submit_ms,wait_ms,query_ms,retire_ms,read_ms,total_ms,device_ms
1280,720,2560,1440,native,resident,0,10,0,3e-05,0.0547,0.015869,0.895062,0.01393,4e-05,2e-05,0.979651,0.77128
1280,720,2560,1440,native,resident,0,11,1,3e-05,0.061309,0.01597,0.825542,0.01252,3e-05,3e-05,0.915431,0.76004
1280,720,2560,1440,native,resident,0,12,0,3e-05,0.055209,0.01478,0.818912,0.01247,3e-05,3e-05,0.901461,0.75676
1280,720,2560,1440,native,resident,0,13,1,2e-05,0.054139,0.01556,0.853242,0.01318,5e-05,2e-05,0.936211,0.74248
1280,720,2560,1440,native,resident,0,14,0,3e-05,0.057409,0.01541,0.809442,0.01329,4e-05,2e-05,0.895641,0.74236
1280,720,2560,1440,native,resident,0,15,1,3e-05,0.05655,0.01592,0.847291,0.017,8e-05,3e-05,0.936901,0.74328
1280,720,2560,1440,native,resident,0,16,0,3e-05,0.05699,0.014769,0.817703,0.01563,5e-05,4e-05,0.905212,0.74296
1280,720,2560,1440,native,resident,0,17,1,3e-05,0.070469,0.01926,0.822432,0.01278,5e-05,2e-05,0.925041,0.74332
1280,720,2560,1440,native,resident,0,18,0,3e-05,0.055409,0.01421,0.811922,0.01515,5e-05,3e-05,0.896801,0.74236
1280,720,2560,1440,native,resident,0,19,1,3e-05,0.063849,0.0181,0.829842,0.01337,5e-05,3e-05,0.925271,0.74072
1280,720,2560,1440,native,resident,0,20,0,2e-05,0.057219,0.01553,0.805582,0.01248,4e-05,2e-05,0.890891,0.74308
1280,720,2560,1440,native,resident,0,21,1,2e-05,0.05496,0.01498,0.849221,0.01459,4e-05,3e-05,0.933841,0.74412
1280,720,2560,1440,native,resident,0,22,0,3e-05,0.06464,0.017359,0.810703,0.01467,6e-05,3e-05,0.907492,0.74048
1280,720,2560,1440,native,resident,0,23,1,3e-05,0.064879,0.01745,0.810552,0.01494,4e-05,3e-05,0.907921,0.74148
1280,720,2560,1440,native,resident,0,24,0,4e-05,0.063629,0.0172,0.806612,0.01214,4e-05,3e-05,0.899691,0.7438
1280,720,2560,1440,native,resident,0,25,1,3e-05,0.05571,0.015049,0.809412,0.01408,4e-05,2e-05,0.894341,0.74284
1280,720,2560,1440,native,resident,0,26,0,2e-05,0.05569,0.01594,0.844662,0.01268,4e-05,3e-05,0.929062,0.74152
1280,720,2560,1440,native,resident,0,27,1,3e-05,0.055049,0.01418,0.809902,0.01486,5e-05,3e-05,0.894101,0.74224
1280,720,2560,1440,native,resident,0,28,0,3e-05,0.083089,0.01884,0.808852,0.01488,5e-05,3e-05,0.925771,0.7418
1280,720,2560,1440,native,resident,0,29,1,3e-05,0.066489,0.01794,0.811012,0.01476,5e-05,3e-05,0.910311,0.743
1280,720,2560,1440,native,resident,0,30,0,3e-05,0.063929,0.01783,0.803432,0.01223,4e-05,2e-05,0.897511,0.7404
1280,720,2560,1440,native,resident,0,31,1,3e-05,0.0551,0.015,0.807272,0.01242,5e-05,2e-05,0.889892,0.7422
1280,720,2560,1440,native,resident,0,32,0,3e-05,0.056029,0.0162,0.846412,0.01288,4e-05,2e-05,0.931611,0.74328
1280,720,2560,1440,native,resident,0,33,1,2e-05,0.064659,0.01768,0.811322,0.01535,5e-05,3e-05,0.909111,0.74348
1280,720,2560,1440,native,resident,0,34,0,3e-05,0.064109,0.01762,0.811692,0.01489,5e-05,3e-05,0.908421,0.743
1280,720,2560,1440,native,resident,0,35,1,4e-05,0.06363,0.017519,0.811033,0.015229,5e-05,3e-05,0.907531,0.74204
1280,720,2560,1440,native,resident,0,36,0,3e-05,0.06684,0.0181,0.805772,0.01263,4e-05,3e-05,0.903442,0.7424
1280,720,2560,1440,native,resident,0,37,1,2e-05,0.055909,0.01485,0.817732,0.01686,7e-05,2e-05,0.905461,0.74248
1280,720,2560,1440,native,resident,0,38,0,3e-05,0.059579,0.01601,0.843352,0.01317,5e-05,2e-05,0.932211,0.74304
1280,720,2560,1440,native,resident,0,39,1,3e-05,0.06428,0.015579,0.804722,0.01235,3e-05,3e-05,0.897021,0.74288
1280,720,2560,1440,ogpu,resident,0,10,0,3e-05,0.00513,0.111668,0.838863,0.023889,0.00021,2e-05,0.97981,0.76972
1280,720,2560,1440,ogpu,resident,0,11,1,2e-05,0.00363,0.087549,0.830552,0.02256,0.00017,3e-05,0.944511,0.75724
1280,720,2560,1440,ogpu,resident,0,12,0,2e-05,0.00166,0.086969,0.829022,0.02204,0.00023,8e-05,0.940021,0.74536
1280,720,2560,1440,ogpu,resident,0,13,1,3e-05,0.00418,0.092579,0.815822,0.02214,0.00019,2e-05,0.934961,0.74404
1280,720,2560,1440,ogpu,resident,0,14,0,3e-05,0.00161,0.087569,0.823822,0.02378,0.00022,3e-05,0.937061,0.74388
1280,720,2560,1440,ogpu,resident,0,15,1,3e-05,0.00187,0.089009,0.811862,0.02469,0.00018,2e-05,0.927661,0.74316
1280,720,2560,1440,ogpu,resident,0,16,0,3e-05,0.00161,0.086389,0.812422,0.01955,0.00018,3e-05,0.920211,0.74304
1280,720,2560,1440,ogpu,resident,0,17,1,3e-05,0.0035,0.085809,0.813713,0.021819,0.0002,3e-05,0.925101,0.74616
1280,720,2560,1440,ogpu,resident,0,18,0,3e-05,0.00151,0.088509,0.843142,0.02741,0.00028,8e-05,0.960961,0.75116
1280,720,2560,1440,ogpu,resident,0,19,1,3e-05,0.00903,0.089429,0.813652,0.02566,0.0002,3e-05,0.938031,0.74524
1280,720,2560,1440,ogpu,resident,0,20,0,3e-05,0.00159,0.086629,0.814632,0.02019,0.00019,2e-05,0.923281,0.7434
1280,720,2560,1440,ogpu,resident,0,21,1,2e-05,0.00346,0.085859,0.819522,0.0213,0.00025,8e-05,0.930491,0.74288
1280,720,2560,1440,ogpu,resident,0,22,0,2e-05,0.00181,0.088009,0.819112,0.01789,0.00017,3e-05,0.927041,0.74128
1280,720,2560,1440,ogpu,resident,0,23,1,2e-05,0.00429,0.088409,0.813882,0.02179,0.00021,3e-05,0.928631,0.74268
1280,720,2560,1440,ogpu,resident,0,24,0,3e-05,0.00153,0.094179,0.813142,0.02171,0.00019,3e-05,0.930811,0.74072
1280,720,2560,1440,ogpu,resident,0,25,1,3e-05,0.00151,0.091799,0.816592,0.02263,0.00021,3e-05,0.932801,0.74436
1280,720,2560,1440,ogpu,resident,0,26,0,2e-05,0.00166,0.085619,0.835742,0.02448,0.00034,4e-05,0.947901,0.7416
1280,720,2560,1440,ogpu,resident,0,27,1,3e-05,0.00256,0.123078,0.811053,0.01402,0.0002,2e-05,0.950961,0.7444
1280,720,2560,1440,ogpu,resident,0,28,0,3e-05,0.00186,0.076639,0.840282,0.016249,0.00021,3e-05,0.9353,0.74292
1280,720,2560,1440,ogpu,resident,0,29,1,3e-05,0.00193,0.08767,0.809592,0.01377,0.00018,3e-05,0.913202,0.74344
