width,height,out_width,out_height,mode,round,frame,input,upload_ms,record_ms,submit_ms,wait_ms,query_ms,retire_ms,read_ms,total_ms,device_ms
1280,720,2560,1440,resident,0,10,0,3e-05,0.00166,0.06927,0.88461,0.01546,0.00022,3e-05,0.97128,0.76884
1280,720,2560,1440,resident,0,11,1,4e-05,0.00191,0.082169,0.846201,0.012739,0.00017,2e-05,0.943249,0.7582
1280,720,2560,1440,resident,0,12,0,3e-05,0.00166,0.07002,0.85657,0.01543,0.00019,3e-05,0.94393,0.74832
1280,720,2560,1440,resident,0,13,1,3e-05,0.00186,0.082049,0.826251,0.01311,0.00016,3e-05,0.92349,0.74336
1280,720,2560,1440,resident,0,14,0,3e-05,0.00161,0.069489,0.849241,0.01563,0.00022,3e-05,0.93625,0.74336
1280,720,2560,1440,resident,0,15,1,3e-05,0.00182,0.082509,0.821381,0.01284,0.00018,2e-05,0.91878,0.74312
1280,720,2560,1440,resident,0,16,0,3e-05,0.00169,0.069429,0.856811,0.01544,0.00023,3e-05,0.94366,0.74328
1280,720,2560,1440,resident,0,17,1,4e-05,0.00195,0.083479,0.827011,0.015589,0.00021,3e-05,0.928309,0.7424
1280,720,2560,1440,resident,0,18,0,4e-05,0.00186,0.533615,0.804771,0.01326,0.00017,3e-05,1.353746,0.74088
1280,720,2560,1440,resident,0,19,1,3e-05,0.00162,0.070719,0.847951,0.015569,0.0002,3e-05,0.936119,0.745
1280,720,2560,1440,resident,0,20,0,3e-05,0.00187,0.08203,0.822511,0.01343,0.00015,2e-05,0.920041,0.74244
1280,720,2560,1440,resident,0,21,1,3e-05,0.0016,0.071029,0.847001,0.015829,0.00021,3e-05,0.935729,0.74416
1280,720,2560,1440,resident,0,22,0,4e-05,0.00193,0.081989,0.822511,0.01278,0.00018,2e-05,0.91945,0.74284
1280,720,2560,1440,resident,0,23,1,3e-05,0.00159,0.070359,0.842341,0.01307,0.00017,3e-05,0.92759,0.74368
1280,720,2560,1440,resident,0,24,0,3e-05,0.00164,0.080869,0.835721,0.01515,0.00018,3e-05,0.93362,0.74456
1280,720,2560,1440,resident,0,25,1,3e-05,0.0019,0.082349,0.832411,0.01558,0.00019,3e-05,0.93249,0.74528
1280,720,2560,1440,resident,0,26,0,4e-05,0.00197,0.081569,0.821671,0.01311,0.00017,2e-05,0.91855,0.74052
1280,720,2560,1440,resident,0,27,1,3e-05,0.0016,0.069999,0.840941,0.01897,0.00018,3e-05,0.93175,0.74364
1280,720,2560,1440,resident,0,28,0,3e-05,0.00158,0.070249,0.834601,0.01302,0.00018,2e-05,0.91968,0.74316
1280,720,2560,1440,resident,0,29,1,3e-05,0.00156,0.075879,0.834381,0.0131,0.00017,2e-05,0.92514,0.7428
1280,720,2560,1440,resident,0,30,0,3e-05,0.0016,0.070079,0.84517,0.01592,0.00019,3e-05,0.933019,0.74316
1280,720,2560,1440,resident,0,31,1,3e-05,0.00195,0.082089,0.822651,0.01301,0.00017,3e-05,0.91993,0.74448
1280,720,2560,1440,resident,0,32,0,3e-05,0.00166,0.07091,0.84611,0.01563,0.00029,4e-05,0.93467,0.74356
1280,720,2560,1440,resident,0,33,1,7e-05,0.00244,0.092869,0.810251,0.01345,0.00019,3e-05,0.9193,0.74516
1280,720,2560,1440,resident,0,34,0,3e-05,0.00166,0.069769,0.845351,0.01561,0.0002,3e-05,0.93265,0.743
1280,720,2560,1440,resident,0,35,1,4e-05,0.00186,0.082229,0.826611,0.01274,0.00017,3e-05,0.92368,0.74716
1280,720,2560,1440,resident,0,36,0,2e-05,0.00169,0.070709,0.849151,0.01528,0.00021,3e-05,0.93709,0.74452
1280,720,2560,1440,resident,0,37,1,3e-05,0.00185,0.081789,0.829501,0.01558,0.0002,3e-05,0.92898,0.74356
1280,720,2560,1440,resident,0,38,0,3e-05,0.001819,0.07474,0.829421,0.01324,0.00018,2e-05,0.91945,0.7434
1280,720,2560,1440,resident,0,39,1,3e-05,0.00157,0.070299,1.111038,0.01309,0.00018,3e-05,1.196237,0.744
1280,720,2560,1440,end-to-end,0,10,0,0.158478,0.00268,0.090059,3.585411,0.01904,0.00031,0.632783,4.488761,3.49968
1280,720,2560,1440,end-to-end,0,11,1,0.146669,0.0026,0.100129,3.57403,0.02017,0.00033,0.608464,4.452392,3.49704
1280,720,2560,1440,end-to-end,0,12,0,0.106738,0.00245,0.08562,3.569321,0.01852,0.00031,0.601583,4.384542,3.49768
1280,720,2560,1440,end-to-end,0,13,1,0.131959,0.00261,0.112398,3.578001,0.01919,0.00038,0.613143,4.457681,3.50184
1280,720,2560,1440,end-to-end,0,14,0,0.114519,0.0026,0.085619,3.572491,0.01869,0.00031,0.594573,4.388802,3.49876
1280,720,2560,1440,end-to-end,0,15,1,0.123809,0.00266,0.099549,3.581981,0.02083,0.00036,0.612103,4.441292,3.49904
1280,720,2560,1440,end-to-end,0,16,0,0.124529,0.0028,0.100879,3.57744,0.01916,0.00024,0.688653,4.513701,3.49872
1280,720,2560,1440,end-to-end,0,17,1,0.130938,0.00241,0.093269,3.586001,0.01941,0.00028,0.682283,4.514591,3.49728
1280,720,2560,1440,end-to-end,0,18,0,0.128608,0.00311,0.093719,3.577221,0.01864,0.00025,0.666103,4.487651,3.49848
1280,720,2560,1440,end-to-end,0,19,1,0.130428,0.00258,0.099949,3.583641,0.01848,0.00027,0.669393,4.504741,3.50568
1280,720,2560,1440,end-to-end,0,20,0,0.129299,0.00269,0.092929,3.578261,0.01887,0.00023,0.637993,4.460272,3.50164
1280,720,2560,1440,end-to-end,0,21,1,0.120539,0.00215,0.085239,3.583841,0.021289,0.00024,0.653723,4.467021,3.50108
1280,720,2560,1440,end-to-end,0,22,0,0.120169,0.00298,0.104369,3.569711,0.0189,0.00026,0.641953,4.458342,3.49604
1280,720,2560,1440,end-to-end,0,23,1,0.127868,0.00238,0.086289,3.576751,0.01924,0.0003,0.631753,4.444581,3.5
1280,720,2560,1440,end-to-end,0,24,0,0.137959,0.00263,0.099949,3.574121,0.018469,0.00024,0.633723,4.467091,3.49816
1280,720,2560,1440,end-to-end,0,25,1,0.116849,0.00246,0.086069,3.576361,0.0192,0.00031,0.626523,4.427772,3.4986
1280,720,2560,1440,end-to-end,0,26,0,0.125969,0.00264,0.107789,3.572571,0.01853,0.00025,0.624763,4.452512,3.49912
1280,720,2560,1440,end-to-end,0,27,1,0.115539,0.00225,0.086069,3.575391,0.018519,0.00028,0.621464,4.419512,3.49804
1280,720,2560,1440,end-to-end,0,28,0,0.116428,0.00274,0.102899,3.575361,0.01913,0.00028,0.639063,4.455901,3.5024
1280,720,2560,1440,end-to-end,0,29,1,0.127409,0.0027,0.084509,3.573261,0.028159,0.0003,0.610774,4.427112,3.4976
1280,720,2560,1440,end-to-end,0,30,0,0.121178,0.00258,0.100759,3.574021,0.0191,0.00029,0.639083,4.457011,3.49536
1280,720,2560,1440,end-to-end,0,31,1,0.125909,0.00282,0.102659,3.579231,0.019259,0.00029,0.653333,4.483501,3.49876
1280,720,2560,1440,end-to-end,0,32,0,0.107199,0.00253,0.088179,3.574151,0.01913,0.00026,0.618583,4.410032,3.5002
1280,720,2560,1440,end-to-end,0,33,1,0.140119,0.00269,0.100218,3.572912,0.018959,0.00036,0.630934,4.466192,3.49648
1280,720,2560,1440,end-to-end,0,34,0,0.112128,0.0024,0.088009,3.573892,0.018689,0.00024,0.625863,4.421221,3.49884
